,Path,Age,Emotion,Class,Features
0,OAF_back_angry.wav,Old,angry,Old and angry,"[-3.87263275e+02  5.80970535e+01 -2.30141525e+01 -6.43627071e+00
 -9.76556015e+00  1.24254150e+01 -2.96278706e+01 -2.72736120e+00
 -1.39237061e+01  2.56211013e-01 -2.76503086e+00  3.35018992e+00
 -1.86714917e-01  4.87104321e+00  2.75942564e+00  2.44540834e+00
 -4.36291695e+00 -2.51923203e+00 -3.36025071e+00 -8.83041382e+00
 -6.54943419e+00 -2.59367108e+00 -6.49715614e+00  1.10585909e+01
  1.26969452e+01  2.40412827e+01  2.51126862e+01  2.22298336e+01
  1.38905945e+01  4.42189789e+00 -9.72520769e-01  4.38229656e+00
  1.00870371e+01  5.04957628e+00  3.37922192e+00 -3.49814320e+00
  4.02778149e+00  7.60987234e+00  2.85953236e+00 -3.04284620e+00]"
1,OAF_back_disgust.wav,Old,disgust,Old and disgust,"[-4.8785187e+02  9.7896027e+01  2.2619627e+00  3.0440309e+00
  5.9304967e+00  1.0579957e+01 -1.1563374e+01  5.5790977e+00
 -1.9514366e+01  7.6593847e+00 -1.3126241e+01  5.7718043e+00
 -2.0205293e+00  2.4356575e+00 -1.2116627e+00  3.6880889e+00
 -7.9927192e+00  5.5275064e+00 -3.4535604e+00  3.3504367e+00
  2.5520799e-01 -8.7815267e-01 -3.1042349e+00  5.0474751e-01
 -2.0695553e+00  5.4290257e+00  1.2003785e+00  4.3429499e+00
  2.7624757e+00  3.1689007e+00  2.4503436e+00  1.5433259e+00
  2.5409181e+00  4.6705356e+00  5.2604880e+00  4.4608479e+00
  4.4154272e+00  3.4759064e+00  6.2792645e+00  6.6889491e+00]"
2,OAF_back_fear.wav,Old,fear,Old and fear,"[-4.3919592e+02  6.8509087e+01 -4.8081760e+00 -1.6327960e+00
 -3.3999987e+00  9.3678465e+00 -1.9346224e+01  5.0911093e+00
 -1.5704079e+01  8.5080280e+00 -1.7004807e+01 -3.2021461e+00
 -7.2225466e+00  1.7982820e+00 -3.1162915e+00  4.3245330e+00
 -6.9294310e+00  5.6974506e+00  2.2281296e+00 -6.7390718e+00
  4.2910523e+00  1.4440232e+01  1.1871209e+01  2.6842873e+01
  2.3191116e+01  1.8581625e+01  1.1186115e+01  4.2222619e+00
 -2.4503977e+00  3.6146786e+00  6.4016700e-01  2.2143054e+00
  2.4220246e-01 -4.7162600e+00  1.1768212e+00  1.5185255e+00
 -4.1869682e-01 -3.8032389e-01 -5.4055518e-01 -2.3433261e-01]"
3,OAF_back_happy.wav,Old,happy,Old and happy,"[-4.71600800e+02  9.12090149e+01  3.27084661e+00 -4.77774858e+00
 -2.65170503e+00  1.37011623e+01 -1.96836185e+01  8.13937283e+00
 -1.39730196e+01  3.85569930e+00 -1.32775345e+01 -3.51791763e+00
 -4.39598370e+00  1.23784149e+00  1.88063800e+00  4.47330952e+00
 -3.70078945e+00  1.33134470e+01 -1.52253497e+00 -3.27835865e-02
  2.35298896e+00  1.12961137e+00 -5.15585184e-01  4.10963964e+00
 -4.47433090e+00  4.50222588e+00  2.71652755e-03  1.83895028e+00
 -6.93053544e-01  2.41941404e+00  3.62544060e+00  6.94356585e+00
  8.94561100e+00  7.66635036e+00  7.94562340e+00  6.20246601e+00
  7.27496338e+00  7.73553753e+00  8.70142078e+00  1.00762739e+01]"
4,OAF_back_neutral.wav,Old,neutral,Old and neutral,"[-5.3240350e+02  9.3872017e+01  6.0608063e+00  9.0670567e+00
  7.7606025e+00  1.7427851e+01 -1.2981136e+01  5.3299826e-01
 -1.5950797e+01  9.6521988e+00 -1.1457762e+01  5.7229433e+00
 -5.0919185e+00  9.7586584e+00  8.0982561e+00  3.2859645e+00
 -8.6096420e+00  8.6040373e+00 -2.2467279e+00 -2.3232310e+00
  2.9874856e+00  2.4208224e+00 -2.2036958e+00  8.4243518e-01
 -4.2819400e+00  4.7843951e-01 -6.2270966e+00 -2.0419466e+00
  2.3223217e-01 -1.4340191e-01 -4.8290439e+00 -3.8266194e+00
 -6.4932146e+00 -1.1017925e+00  9.7682629e+00  1.8046089e+01
  2.9479588e+01  3.1219177e+01  2.6609329e+01  1.5457968e+01]"
5,OAF_back_ps.wav,Old,ps,Old and ps,"[-4.4446936e+02  9.8015305e+01 -1.9338660e+00  2.8818529e+00
  1.2030598e+00  7.8072495e+00 -1.6375395e+01  9.0158415e+00
 -1.9761759e+01  6.5373821e+00 -1.7523695e+01  8.4022963e-01
 -5.5310864e+00  1.8964657e+00 -4.5728855e+00  2.4231391e+00
 -7.4064851e+00  9.6645546e+00 -1.3773183e+00  8.2736629e-01
  1.8603070e+00  6.1814151e+00 -2.7379932e+00  4.8357549e+00
 -1.4827889e+00  2.7641146e+00 -2.0706995e+00  2.2809265e+00
 -9.2891765e-01  2.9367292e+00  1.7522444e-01  1.6910728e+00
  1.8359538e+00 -6.7270738e-01  2.3759997e+00  1.8701164e+00
  4.4367981e+00  8.1841888e+00  1.2723416e+01  1.3209570e+01]"
6,OAF_back_sad.wav,Old,sad,Old and sad,"[-5.4557172e+02  8.5695435e+01  1.8834126e+01  1.6661682e+01
  1.1217333e+01  2.0650980e+01 -1.7235056e+01 -5.4405737e+00
 -1.5194061e+01  7.6486406e+00 -1.2644619e+01  1.0207687e+01
 -7.9006462e+00  1.3539824e+01  4.3795748e+00 -2.5283978e+00
 -2.7188540e-01  4.1272157e-01  3.7648265e+00 -4.0151844e+00
  3.4653111e+00  1.7579857e+00 -3.5075560e+00  3.0038422e-01
 -7.3953738e+00 -8.0057299e-01  1.4380320e+00 -3.0076724e-01
 -1.5186715e+00  8.6572752e+00  6.7027841e+00  1.0508049e+01
  1.0961506e+01  9.4395876e+00  6.3914170e+00  5.8403325e+00
  9.1626606e+00  7.3131986e+00  1.3629085e+01  1.1613296e+01]"
7,OAF_bar_angry.wav,Old,angry,Old and angry,"[-4.48388184e+02  7.12077408e+01 -7.98541880e+00 -1.47351427e+01
 -1.56363678e+01  1.53461046e+01 -1.42255478e+01  3.03554964e+00
 -1.64219933e+01  6.45243120e+00 -1.27474613e+01  1.27736740e+01
 -3.20086169e+00  6.87628603e+00 -2.55955290e-02  1.57322884e+00
 -6.76328659e+00 -3.60226464e+00 -3.65143180e+00 -8.86749744e+00
 -2.68256068e+00 -2.90152454e+00 -2.26547575e+00  8.36355972e+00
  1.64164734e+01  2.50889111e+01  2.71269169e+01  2.31090107e+01
  8.13830566e+00  3.01408505e+00  3.59544325e+00  1.06226091e+01
  1.13889475e+01  1.67963767e+00  3.55080128e-01 -4.84597445e+00
  3.17007589e+00  8.67048168e+00  3.37132287e+00 -7.57869065e-01]"
8,OAF_bar_disgust.wav,Old,disgust,Old and disgust,"[-4.6453879e+02  9.6380753e+01  1.1568900e+01 -4.1021609e+00
  3.4219509e-01  8.7778139e+00 -1.1538000e+01  8.6693201e+00
 -1.9477793e+01  9.0070019e+00 -1.1509836e+01  7.7931232e+00
 -2.8546376e+00  7.4601455e+00 -5.2810521e+00  3.7413726e+00
 -4.3245630e+00  3.0509081e+00  6.6538942e-01 -2.5145121e+00
 -2.4019101e+00  5.0525588e-01 -3.5642438e+00  2.0244210e+00
 -2.9566407e+00  5.2218347e+00  2.1002154e+00  5.7251377e+00
  2.6313388e+00  3.2909060e+00  1.8225250e+00  4.2696571e+00
  2.1915622e+00  2.0506060e+00  4.3986950e+00  2.5258298e+00
  5.4987836e+00  4.9585323e+00  6.1790137e+00  5.6423178e+00]"
9,OAF_bar_fear.wav,Old,fear,Old and fear,"[-4.3842249e+02  7.6814499e+01  6.5040679e+00 -1.5338754e+01
 -1.2889011e+01  1.0737772e+01 -1.7326473e+01  4.7283487e+00
 -2.0387831e+01  5.2231216e+00 -2.4487816e+01 -8.6284125e-01
 -8.6409302e+00  5.5549421e+00 -8.2963295e+00  2.0708818e+00
 -3.6740785e+00  5.6891108e-01 -4.5158345e-01 -4.9530420e+00
  1.8222271e+00  2.1757145e+01  1.8626202e+01  2.9734810e+01
  3.0312019e+01  1.8772453e+01  7.6284237e+00  3.7970581e+00
 -7.4020213e-01  3.2974575e+00  8.8912815e-01 -1.1454023e+00
 -4.6236378e-01 -6.2940669e+00  1.6413848e+00  2.0362251e+00
 -3.7624784e+00 -1.2332804e+00 -1.3631066e+00 -2.2470956e-01]"
